Phase Field,Target
Bi U,0
Cr Ti,1
Fe Ti,1
Ge La Mn,0
Ce Sb,0
Nd Rh,1
Ge K Li,0
Cd Eu Sb Zn,0
Ni Sb V,0
Fe Ga Ge Sm,0
Fe Ga Ge Y,0
Ga Ge Ni Y,0
Ba Li Sr,0
Ag Ca Ge Mn,0
Al Ge Tb,0
Al Dy Ge,0
Al Ge Ho,0
Al Er Ge,0
Al Ge Tm,0
Al Ge Lu,0
Al Ge Y,0
Ga Nb,0
Ga Mo Ta,0
Nd Pd Sn,0
Gd Pd Sn,0
Ge Ir Sc,0
Au Sn Tb,0
Cd Eu Sb,0
Ca Mn Sb,0
Au Gd Mg,0
Cd Ni Y,1
Cd Pd Y,0
Cd Co Y,0
Cd Ru Y,0
Cd Er Ni,1
Cd Er Fe,0
Au Ce Sn,0
Al Ca Pd,0
Au Sn Sr,0
Al Au Pd Sc,0
Mg Ni Sn,0
Hg Sn Sr,0
Ce Pd Rh Sn,0
Au Ge Sr,0
Ga La Rh,1
Ag Ca Pt,0
Ca Mg Pd,0
Ca Ga Pt,0
Mg Pd Zn,1
Al Fe La,0
Ba Ge Ir,0
Ge Ir Sr,0
Eu Ge Ir,0
Ca Ge Ir,0
Co Gd,1
Cr Ga Ti,1
Cr Ga Zr,1
Cr Ge,0
Cr Ge Hf,0
Cr Ge Nb,1
Cr Ge Np,0
Cr Ge Sc,1
Cr Ge Ti,0
Cr Ge V,0
Cr Ge Zr,0
Cr Hf,1
Cr Ir,1
Cr Lu Mn,1
Cr Mn Sb,0
Cr Mn Ti,1
Cr Mn Ti Zr,1
Cr Mn Tm,1
Cr Mn Zr,1
Cr Mo,0
Cr Mo Ni,0
Cr Nb,1
Cr Nb Ni,1
Cr Ni,1
Cr Ni Ta,1
Cr Ni U,1
Cr Ni W,0
Cr Ni Y,1
Cr Ni Zr,1
Cr Os,0
Cr Pt Sb,0
Cr Re,0
Cr Rh,1
Cr Rh Sn,0
Cr Ru,0
Cr Ta,1
Cr Tc,0
Cr Ti Zr,1
Al Li Ni Zr,0
Ga Li Ni Zr,0
Fe Ge Li Nb,0
Al Co Li Ta,0
Co Ga Li Nb,0
Co Li Sn Zr,0
Co Hf Li Sn,0
Co Ge Hf Li,0
Co Cr Fe Sb,0
Pd Sc,1
Cu Ge Nd,0
Mn Sb Yb,0
Ni Th,1
Ag Th,0
Au Th,0
Cd Th,1
Al Th,1
Ir Sb,0
Li Pb,0
Be Rh,1
Bi Ca Ti,1
Bi Ni Sr,0
Ca Sb V,1
Au Ge Na,0
Cr Ge Mo,0
Al Ge Yb,0
In Pt Y,0
In Pt Zr,0
In Pu,1
In Rb,0
In Rh,0
In Rh Y,0
In Ru,1
In Sb Sn Zn,0
In Sm,1
In Sm Sn,1
In Sn,0
In Sn Tb,1
In Sn Tm,1
In Sn Y,1
In Sr,1
In Tb,1
In Th,1
In Ti,1
In Tl,0
In Tm,1
In U,1
In Y,1
In Yb,1
In Zr,1
Eu Ge Zn,0
Ge Mo Tb Ti,0
Cu Pr Sb,0
Cu Nd Sb,0
Al Gd Ge,1
Cu Hf Sb,0
Cu Ge U,0
Ni Sb Y,0
Ga Ge Lu Mn,1
Ga Ge Mn Tm,1
Ga Ge Ho Mn,1
Ge In La,0
Ba Ga Ge,0
Eu Ga Ge,0
Fe Ga Ge Sc,1
Ge Pt Tb,0
Er Ge Pt,0
Ge Ir Tb,0
Ge Ho Ir,0
Er Ge Ir,0
Cu Sb Tb,0
Gd Ge Mg,0
Au Ge Ho,0
Au Ge U,0
Ga Ge Sr,0
Bi Gd Sb,0
Ho In,1
Co Ho In,0
Al Er Fe,1
Au Bi La,0
Au Bi Ce,0
Au Bi Pr,0
Au Bi Nd,0
Au Bi Sm,0
Cu In,0
Pt Th,0
Co In Sb,0
Al Au Ir,0
Cu Ga Mo,0
Co Mg Tb,1
Cu Eu Sb,0
Al Pt Y,0
Al Ni Y,1
Al Pd Y,0
Al Cu Li Mg,0
Cd Ir,0
Cd Cu Ir,0
Bi Sr Ti,0
Ga Ir Sr,0
Ni Sb Sr,0
Ag Ca Ge,0
Cu Ge Ni,0
Cu Ge Ni U,0
Cu Ge Np,0
Cu Ge Pr,0
Cu Ge Sb,0
Cu Ge Sc,1
Cu Ge Sm,0
Cu Ge Sn,0
Cu Ge Sr,0
Cu Ge Tm,0
Cu Ge Y,0
Cu Ge Yb,0
Cu Ge Zn,0
Cu Ge Zr,0
Cu Hf,0
Cu Hf Sn,0
Cu Hf Zn,0
Cu Ho,1
Cu Ho In,1
Cu Ho Pb,0
Cu Ho Sn,1
Cu In La,0
Cu In Lu,0
Cu In Mg,1
Cu In Nd,0
Cu In Sm,0
Cu In Tb,1
Cu In Ti,0
Cu In Tm,0
Cu In Y,1
Cu In Yb,1
Cu La,1
Cu La Ni,1
Cu La Pb,0
Cu La Sn,0
Cu Lu,1
Cu Lu Sn,1
Co Pt,1
Al Ge Mg,0
Cr Ge Y,1
Cr Sn Y,0
Ru Sc,1
Ru Ti,1
Re W,0
Ta W,0
Fe Rh,0
Ba Bi Sb,1
Bi Ca Sb,1
Bi Sb Sr,1
Co Hf Sb,0
Hf Ni Sn,0
Co Sb Zr,0
Ni Sn Zr,1
In La,1
La Pb,1
Ga Mn,1
Ti U,0
Co Ge Lu Ti,0
Co Lu Sn Ti,0
Co Ge La Ti,0
Co La Sn Ti,0
Co Ge Sc Ti,0
Al Mn Y,1
Ga Mn Y,0
Mn Sn Y,1
Co Mg Y,1
Sn Zr,1
Co Fe Mn Sb,0
Cr Gd Ge Sn,0
Pu Rh,1
Ir Pu,1
Ru Sb,0
Rh Sb,0
Al Ba Ge,1
Ag Mg Zn,1
Ag K Sb,0
Ag Bi K,0
Sn Sr,1
Li Sb Zn,0
Bi In,0
Ca Sn,1
Sb Ti,0
Mn Sb Zn,0
Ga V,0
Pu Ru,1
Al Li,1
Ba Cd,1
Au Sm,0
Co Sm,1
Ca Sb,0
Cd Cu,1
Fe Zn,0
Au Pr,0
Mg Sb,0
Cd Sm,0
Mg Ni Y,1
Mg Y,1
Al Ru Yb,1
Al Ho Ir,1
Al Ho Ru,0
