,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
134,026941,26941,"['Dy3Ni2In4-26941-Cagome_big.gph', 'Dy3Ni2In4-26941-Cagome_big_1.gph']",intermetallics_search_026941.cif
135,026965,26965,"['Tm3Ni2In4-26965-Cagome_big.gph', 'Tm3Ni2In4-26965-Cagome_big_1.gph']",intermetallics_search_026965.cif
136,030213,30213,['Al2Ca-30213-Cagome_big.gph'],intermetallics_search_030213.cif
137,030216,30216,"['Ni3Ti-30216-Cagome_big.gph', 'Ni3Ti-30216-Cagome_big_1.gph', 'Ni3Ti-30216-Cagome_big_2.gph']",intermetallics_search_030216.cif
138,031391,31391,"['Ti3Sn-31391-Cagome_big.gph', 'Ti3Sn-31391-Cagome_big_1.gph']",intermetallics_search_031391.cif
139,031392,31392,"['Ti3Sn-31392-Cagome_big.gph', 'Ti3Sn-31392-Cagome_big_1.gph', 'Ti3Sn-31392-Cagome_big_2.gph', 'Ti3Sn-31392-Cagome_big_3.gph']",intermetallics_search_031392.cif
140,031510,31510,"['Pr(Cu2Au2)Au-31510-Cagome_big.gph', 'Pr(Cu2Au2)Au-31510-Cagome_big_1.gph', 'Pr(Cu2Au2)Au-31510-Cagome_big_2.gph', 'Pr(Cu2Au2)Au-31510-Cagome_big_3.gph']",intermetallics_search_031510.cif
141,031838,31838,"['KV3Sb5-31838-Cagome_big.gph', 'KV3Sb5-31838-Cagome_big_1.gph']",intermetallics_search_031838.cif
142,031841,31841,"['CsV3Sb5-31841-Cagome_big.gph', 'CsV3Sb5-31841-Cagome_big_1.gph']",intermetallics_search_031841.cif
143,031847,31847,"['RbV3Sb5-31847-Cagome_big.gph', 'RbV3Sb5-31847-Cagome_big_1.gph']",intermetallics_search_031847.cif
144,032021,32021,['BaCd2Sb2-32021-Cagome_big.gph'],intermetallics_search_032021.cif
145,032029,32029,['LiYGe-32029-Cagome_big.gph'],intermetallics_search_032029.cif
146,032030,32030,['LiGdGe-32030-Cagome_big.gph'],intermetallics_search_032030.cif
147,032794,32794,['(Sm0.5Nd0.5)Co5-32794-Cagome_big.gph'],intermetallics_search_032794.cif
148,032795,32795,['(Sm0.33Nd0.33Y0.33)Co5-32795-Cagome_big.gph'],intermetallics_search_032795.cif
149,032796,32796,['(Sm0.25Nd0.25Y0.25Tb0.25)Co5-32796-Cagome_big.gph'],intermetallics_search_032796.cif
150,032797,32797,"['(Co0.709Nb0.256Re0.042)3-32797-Cagome_big.gph', '(Co0.709Nb0.256Re0.042)3-32797-Cagome_big_1.gph', '(Co0.709Nb0.256Re0.042)3-32797-Cagome_big_2.gph', '(Co0.709Nb0.256Re0.042)3-32797-Cagome_big_3.gph']",intermetallics_search_032797.cif
151,032798,32798,"['(Co0.673Nb0.246Re0.081)3-32798-Cagome_big.gph', '(Co0.673Nb0.246Re0.081)3-32798-Cagome_big_1.gph', '(Co0.673Nb0.246Re0.081)3-32798-Cagome_big_2.gph', '(Co0.673Nb0.246Re0.081)3-32798-Cagome_big_3.gph']",intermetallics_search_032798.cif
152,032799,32799,"['(Co0.660Nb0.258Re0.082)3-32799-Cagome_big.gph', '(Co0.660Nb0.258Re0.082)3-32799-Cagome_big_1.gph', '(Co0.660Nb0.258Re0.082)3-32799-Cagome_big_2.gph', '(Co0.660Nb0.258Re0.082)3-32799-Cagome_big_3.gph']",intermetallics_search_032799.cif
153,033221,33221,"['(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big.gph', '(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big_1.gph', '(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big_2.gph', '(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big_3.gph', '(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big_4.gph', '(Fe0.83Ga0.17)0.9994Tb0.0006-33221-Cagome_big_5.gph']",intermetallics_search_033221.cif
154,033298,33298,"['CoVMnAl-33298-Cagome_big.gph', 'CoVMnAl-33298-Cagome_big_1.gph', 'CoVMnAl-33298-Cagome_big_10.gph', 'CoVMnAl-33298-Cagome_big_11.gph', 'CoVMnAl-33298-Cagome_big_12.gph', 'CoVMnAl-33298-Cagome_big_13.gph', 'CoVMnAl-33298-Cagome_big_14.gph', 'CoVMnAl-33298-Cagome_big_15.gph', 'CoVMnAl-33298-Cagome_big_16.gph', 'CoVMnAl-33298-Cagome_big_17.gph', 'CoVMnAl-33298-Cagome_big_18.gph', 'CoVMnAl-33298-Cagome_big_19.gph', 'CoVMnAl-33298-Cagome_big_2.gph', 'CoVMnAl-33298-Cagome_big_20.gph', 'CoVMnAl-33298-Cagome_big_21.gph', 'CoVMnAl-33298-Cagome_big_22.gph', 'CoVMnAl-33298-Cagome_big_23.gph', 'CoVMnAl-33298-Cagome_big_24.gph', 'CoVMnAl-33298-Cagome_big_25.gph', 'CoVMnAl-33298-Cagome_big_26.gph', 'CoVMnAl-33298-Cagome_big_27.gph', 'CoVMnAl-33298-Cagome_big_28.gph', 'CoVMnAl-33298-Cagome_big_29.gph', 'CoVMnAl-33298-Cagome_big_3.gph', 'CoVMnAl-33298-Cagome_big_30.gph', 'CoVMnAl-33298-Cagome_big_31.gph', 'CoVMnAl-33298-Cagome_big_32.gph', 'CoVMnAl-33298-Cagome_big_33.gph', 'CoVMnAl-33298-Cagome_big_34.gph', 'CoVMnAl-33298-Cagome_big_35.gph', 'CoVMnAl-33298-Cagome_big_36.gph', 'CoVMnAl-33298-Cagome_big_37.gph', 'CoVMnAl-33298-Cagome_big_38.gph', 'CoVMnAl-33298-Cagome_big_39.gph', 'CoVMnAl-33298-Cagome_big_4.gph', 'CoVMnAl-33298-Cagome_big_40.gph', 'CoVMnAl-33298-Cagome_big_41.gph', 'CoVMnAl-33298-Cagome_big_42.gph', 'CoVMnAl-33298-Cagome_big_43.gph', 'CoVMnAl-33298-Cagome_big_44.gph', 'CoVMnAl-33298-Cagome_big_45.gph', 'CoVMnAl-33298-Cagome_big_46.gph', 'CoVMnAl-33298-Cagome_big_47.gph', 'CoVMnAl-33298-Cagome_big_5.gph', 'CoVMnAl-33298-Cagome_big_6.gph', 'CoVMnAl-33298-Cagome_big_7.gph', 'CoVMnAl-33298-Cagome_big_8.gph', 'CoVMnAl-33298-Cagome_big_9.gph']",intermetallics_search_033298.cif
155,033476,33476,"['Tb0.75Er0.25Ni2-33476-Cagome_big.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_1.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_10.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_11.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_2.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_3.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_4.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_5.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_6.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_7.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_8.gph', 'Tb0.75Er0.25Ni2-33476-Cagome_big_9.gph']",intermetallics_search_033476.cif
156,033477,33477,"['Tb0.5Er0.5Ni2-33477-Cagome_big.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_1.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_10.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_2.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_3.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_4.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_5.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_6.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_7.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_8.gph', 'Tb0.5Er0.5Ni2-33477-Cagome_big_9.gph']",intermetallics_search_033477.cif
157,033478,33478,"['Tb0.25Er0.75Ni2-33478-Cagome_big.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_1.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_10.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_11.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_2.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_3.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_4.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_5.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_6.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_7.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_8.gph', 'Tb0.25Er0.75Ni2-33478-Cagome_big_9.gph']",intermetallics_search_033478.cif
158,033933,33933,"['KSnSb-33933-Cagome_big.gph', 'KSnSb-33933-Cagome_big_1.gph']",intermetallics_search_033933.cif
159,034121,34121,['Ta1.02Mn1.98-34121-Cagome_big.gph'],intermetallics_search_034121.cif
160,034122,34122,"['NbMn2-34122-Cagome_big.gph', 'NbMn2-34122-Cagome_big_1.gph']",intermetallics_search_034122.cif
161,034122,34122,"['NbMn2-34122-Cagome_big.gph', 'NbMn2-34122-Cagome_big_1.gph']",intermetallics_search_034122.cif.cif
162,034123,34123,"['NbMn2-34123-Cagome_big.gph', 'NbMn2-34123-Cagome_big_1.gph']",intermetallics_search_034123.cif
163,034124,34124,['NbMn2-34124-Cagome_big.gph'],intermetallics_search_034124.cif
164,034125,34125,"['NbMn2-34125-Cagome_big.gph', 'NbMn2-34125-Cagome_big_1.gph']",intermetallics_search_034125.cif
165,034126,34126,"['Nb1.08Mn1.92-34126-Cagome_big.gph', 'Nb1.08Mn1.92-34126-Cagome_big_1.gph']",intermetallics_search_034126.cif
166,034128,34128,['Ta0.9Mn2.1-34128-Cagome_big.gph'],intermetallics_search_034128.cif
167,034130,34130,"['TaMn2-34130-Cagome_big.gph', 'TaMn2-34130-Cagome_big_1.gph']",intermetallics_search_034130.cif
168,034318,34318,"['BaSn2.16Pb0.84-34318-Cagome_big.gph', 'BaSn2.16Pb0.84-34318-Cagome_big_1.gph']",intermetallics_search_034318.cif
169,034319,34319,"['BaSn1.58Pb1.42-34319-Cagome_big.gph', 'BaSn1.58Pb1.42-34319-Cagome_big_1.gph', 'BaSn1.58Pb1.42-34319-Cagome_big_2.gph', 'BaSn1.58Pb1.42-34319-Cagome_big_3.gph']",intermetallics_search_034319.cif
170,034322,34322,"['BaSn1.01Pb1.99-34322-Cagome_big.gph', 'BaSn1.01Pb1.99-34322-Cagome_big_1.gph', 'BaSn1.01Pb1.99-34322-Cagome_big_2.gph', 'BaSn1.01Pb1.99-34322-Cagome_big_3.gph']",intermetallics_search_034322.cif
171,034323,34323,"['BaSn0.65Pb2.35-34323-Cagome_big.gph', 'BaSn0.65Pb2.35-34323-Cagome_big_1.gph']",intermetallics_search_034323.cif
172,034324,34324,"['BaPb3-34324-Cagome_big.gph', 'BaPb3-34324-Cagome_big_1.gph', 'BaPb3-34324-Cagome_big_2.gph', 'BaPb3-34324-Cagome_big_3.gph']",intermetallics_search_034324.cif
173,034327,34327,"['SrSn2.05Pb0.95-34327-Cagome_big.gph', 'SrSn2.05Pb0.95-34327-Cagome_big_1.gph', 'SrSn2.05Pb0.95-34327-Cagome_big_2.gph', 'SrSn2.05Pb0.95-34327-Cagome_big_3.gph']",intermetallics_search_034327.cif
174,034328,34328,"['SrSn0.75Pb2.25-34328-Cagome_big.gph', 'SrSn0.75Pb2.25-34328-Cagome_big_1.gph']",intermetallics_search_034328.cif
175,035078,35078,['DyCo2-35078-Cagome_big.gph'],intermetallics_search_035078.cif
176,035480,35480,"['(La0.667Y1.33)Ni7-35480-Cagome_big.gph', '(La0.667Y1.33)Ni7-35480-Cagome_big_1.gph', '(La0.667Y1.33)Ni7-35480-Cagome_big_2.gph']",intermetallics_search_035480.cif
177,035482,35482,"['(LaY2Ni10.5)0.3333-35482-Cagome_big.gph', '(LaY2Ni10.5)0.3333-35482-Cagome_big_1.gph', '(LaY2Ni10.5)0.3333-35482-Cagome_big_2.gph', '(LaY2Ni10.5)0.3333-35482-Cagome_big_3.gph']",intermetallics_search_035482.cif
178,035831,35831,"['ThIr3-35831-Cagome_big.gph', 'ThIr3-35831-Cagome_big_1.gph']",intermetallics_search_035831.cif
179,036497,36497,"['YbCu0.52Sb-36497-Cagome_big.gph', 'YbCu0.52Sb-36497-Cagome_big_1.gph', 'YbCu0.52Sb-36497-Cagome_big_2.gph']",intermetallics_search_036497.cif
180,036716,36716,"['Fe3Ge-36716-Cagome_big.gph', 'Fe3Ge-36716-Cagome_big_1.gph']",intermetallics_search_036716.cif
181,036717,36717,"['Fe2.875V0.125Ge-36717-Cagome_big.gph', 'Fe2.875V0.125Ge-36717-Cagome_big_1.gph', 'Fe2.875V0.125Ge-36717-Cagome_big_2.gph', 'Fe2.875V0.125Ge-36717-Cagome_big_3.gph']",intermetallics_search_036717.cif
182,036718,36718,"['Fe2.75V0.25Ge-36718-Cagome_big.gph', 'Fe2.75V0.25Ge-36718-Cagome_big_1.gph', 'Fe2.75V0.25Ge-36718-Cagome_big_2.gph', 'Fe2.75V0.25Ge-36718-Cagome_big_3.gph']",intermetallics_search_036718.cif
183,036719,36719,['Fe3Ge-36719-Cagome_big.gph'],intermetallics_search_036719.cif
184,036726,36726,"['Ho2Ni1.5Ga2.5-36726-Cagome_big.gph', 'Ho2Ni1.5Ga2.5-36726-Cagome_big_1.gph', 'Ho2Ni1.5Ga2.5-36726-Cagome_big_2.gph', 'Ho2Ni1.5Ga2.5-36726-Cagome_big_3.gph', 'Ho2Ni1.5Ga2.5-36726-Cagome_big_4.gph', 'Ho2Ni1.5Ga2.5-36726-Cagome_big_5.gph']",intermetallics_search_036726.cif
185,036752,36752,"['(Ni0.3Cu0.7)Zr-36752-Cagome_big.gph', '(Ni0.3Cu0.7)Zr-36752-Cagome_big_1.gph', '(Ni0.3Cu0.7)Zr-36752-Cagome_big_2.gph']",intermetallics_search_036752.cif
186,036782,36782,['UNiGa-36782-Cagome_big.gph'],intermetallics_search_036782.cif
187,036787,36787,"['Hf0.86Ta0.14Fe2-36787-Cagome_big.gph', 'Hf0.86Ta0.14Fe2-36787-Cagome_big_1.gph']",intermetallics_search_036787.cif
188,036788,36788,"['Hf0.86Ta0.14Fe2-36788-Cagome_big.gph', 'Hf0.86Ta0.14Fe2-36788-Cagome_big_1.gph']",intermetallics_search_036788.cif
189,037471,37471,['TmAl2-37471-Cagome_big.gph'],intermetallics_search_037471.cif
190,037472,37472,['(Tm0.95Dy0.05)Al2-37472-Cagome_big.gph'],intermetallics_search_037472.cif
191,037473,37473,['(Tm0.9Dy0.1)Al2-37473-Cagome_big.gph'],intermetallics_search_037473.cif
192,037474,37474,['(Tm0.85Dy0.15)Al2-37474-Cagome_big.gph'],intermetallics_search_037474.cif
193,037475,37475,['(Tm0.75Dy0.25)Al2-37475-Cagome_big.gph'],intermetallics_search_037475.cif
194,037476,37476,['(Tm0.5Dy0.5)Al2-37476-Cagome_big.gph'],intermetallics_search_037476.cif
195,037477,37477,['(Tm0.25Dy0.75)Al2-37477-Cagome_big.gph'],intermetallics_search_037477.cif
196,037478,37478,['DyAl2-37478-Cagome_big.gph'],intermetallics_search_037478.cif
197,037479,37479,"['LaNi4.77Al0.23-37479-Cagome_big.gph', 'LaNi4.77Al0.23-37479-Cagome_big_1.gph']",intermetallics_search_037479.cif
198,037487,37487,"['La2Ni7-37487-Cagome_big.gph', 'La2Ni7-37487-Cagome_big_1.gph', 'La2Ni7-37487-Cagome_big_2.gph', 'La2Ni7-37487-Cagome_big_3.gph']",intermetallics_search_037487.cif
199,037521,37521,"['Au0.53In0.24Pd0.23-37521-Cagome_big.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_1.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_2.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_3.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_4.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_5.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_6.gph', 'Au0.53In0.24Pd0.23-37521-Cagome_big_7.gph']",intermetallics_search_037521.cif
200,037523,37523,"['Au0.64In0.2Pd0.16-37523-Cagome_big.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_1.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_2.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_3.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_4.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_5.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_6.gph', 'Au0.64In0.2Pd0.16-37523-Cagome_big_7.gph']",intermetallics_search_037523.cif
201,037524,37524,"['Au0.525In0.24Pd0.235-37524-Cagome_big.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_1.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_2.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_3.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_4.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_5.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_6.gph', 'Au0.525In0.24Pd0.235-37524-Cagome_big_7.gph']",intermetallics_search_037524.cif
202,037526,37526,"['Au0.535In0.245Pd0.22-37526-Cagome_big.gph', 'Au0.535In0.245Pd0.22-37526-Cagome_big_1.gph', 'Au0.535In0.245Pd0.22-37526-Cagome_big_2.gph', 'Au0.535In0.245Pd0.22-37526-Cagome_big_3.gph']",intermetallics_search_037526.cif
203,037562,37562,"['LaNi4Co-37562-Cagome_big.gph', 'LaNi4Co-37562-Cagome_big_1.gph']",intermetallics_search_037562.cif
204,037609,37609,"['(MgCd)Yb0.75-37609-Cagome_big.gph', '(MgCd)Yb0.75-37609-Cagome_big_1.gph', '(MgCd)Yb0.75-37609-Cagome_big_2.gph', '(MgCd)Yb0.75-37609-Cagome_big_3.gph']",intermetallics_search_037609.cif
205,037629,37629,"['Ce5AgGe2-37629-Cagome_big.gph', 'Ce5AgGe2-37629-Cagome_big_1.gph', 'Ce5AgGe2-37629-Cagome_big_2.gph', 'Ce5AgGe2-37629-Cagome_big_3.gph', 'Ce5AgGe2-37629-Cagome_big_4.gph', 'Ce5AgGe2-37629-Cagome_big_5.gph']",intermetallics_search_037629.cif
206,038716,38716,"['Y0.96Ni2-38716-Cagome_big.gph', 'Y0.96Ni2-38716-Cagome_big_1.gph', 'Y0.96Ni2-38716-Cagome_big_10.gph', 'Y0.96Ni2-38716-Cagome_big_11.gph', 'Y0.96Ni2-38716-Cagome_big_2.gph', 'Y0.96Ni2-38716-Cagome_big_3.gph', 'Y0.96Ni2-38716-Cagome_big_4.gph', 'Y0.96Ni2-38716-Cagome_big_5.gph', 'Y0.96Ni2-38716-Cagome_big_6.gph', 'Y0.96Ni2-38716-Cagome_big_7.gph', 'Y0.96Ni2-38716-Cagome_big_8.gph', 'Y0.96Ni2-38716-Cagome_big_9.gph']",intermetallics_search_038716.cif
207,038748,38748,['Tb0.75Ho0.25Ni2-38748-Cagome_big.gph'],intermetallics_search_038748.cif
208,038749,38749,"['Tb0.5Ho0.5Ni2-38749-Cagome_big.gph', 'Tb0.5Ho0.5Ni2-38749-Cagome_big_1.gph', 'Tb0.5Ho0.5Ni2-38749-Cagome_big_2.gph', 'Tb0.5Ho0.5Ni2-38749-Cagome_big_3.gph', 'Tb0.5Ho0.5Ni2-38749-Cagome_big_4.gph', 'Tb0.5Ho0.5Ni2-38749-Cagome_big_5.gph']",intermetallics_search_038749.cif
209,038750,38750,"['Tb0.22Ho0.75Ni2-38750-Cagome_big.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_1.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_2.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_3.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_4.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_5.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_6.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_7.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_8.gph', 'Tb0.22Ho0.75Ni2-38750-Cagome_big_9.gph']",intermetallics_search_038750.cif
210,038820,38820,"['Ag3Sb-38820-Cagome_big.gph', 'Ag3Sb-38820-Cagome_big_1.gph', 'Ag3Sb-38820-Cagome_big_2.gph', 'Ag3Sb-38820-Cagome_big_3.gph', 'Ag3Sb-38820-Cagome_big_4.gph', 'Ag3Sb-38820-Cagome_big_5.gph', 'Ag3Sb-38820-Cagome_big_6.gph', 'Ag3Sb-38820-Cagome_big_7.gph']",intermetallics_search_038820.cif
211,039053,39053,['YAl2Ge2-39053-Cagome_big.gph'],intermetallics_search_039053.cif
212,039065,39065,['Tb0.8Sm0.2Fe2-39065-Cagome_big.gph'],intermetallics_search_039065.cif
213,039066,39066,['Y0.8Sm0.2Fe2-39066-Cagome_big.gph'],intermetallics_search_039066.cif
214,039897,39897,['Yb0.5Fe3Ge3-39897-Cagome_big.gph'],intermetallics_search_039897.cif
215,039899,39899,"['YbCuGe-39899-Cagome_big.gph', 'YbCuGe-39899-Cagome_big_1.gph']",intermetallics_search_039899.cif
216,040124,40124,"['PtIn-40124-Cagome_big.gph', 'PtIn-40124-Cagome_big_1.gph']",intermetallics_search_040124.cif
217,040295,40295,['NdNiSb-40295-Cagome_big.gph'],intermetallics_search_040295.cif
218,040324,40324,"['Ir0.88Os0.12-40324-Cagome_big.gph', 'Ir0.88Os0.12-40324-Cagome_big_1.gph']",intermetallics_search_040324.cif
219,040334,40334,['Ni3Fe-40334-Cagome_big.gph'],intermetallics_search_040334.cif
220,040335,40335,"['(Pd1.79Pt1.21)(Pd0.15Sn0.85)-40335-Cagome_big.gph', '(Pd1.79Pt1.21)(Pd0.15Sn0.85)-40335-Cagome_big_1.gph', '(Pd1.79Pt1.21)(Pd0.15Sn0.85)-40335-Cagome_big_2.gph']",intermetallics_search_040335.cif
221,040336,40336,"['(Pd1.41Pt1.59)(Pd0.13Sn0.87)-40336-Cagome_big.gph', '(Pd1.41Pt1.59)(Pd0.13Sn0.87)-40336-Cagome_big_1.gph', '(Pd1.41Pt1.59)(Pd0.13Sn0.87)-40336-Cagome_big_2.gph']",intermetallics_search_040336.cif
222,040348,40348,"['Ir.83Pt.17-40348-Cagome_big.gph', 'Ir.83Pt.17-40348-Cagome_big_1.gph']",intermetallics_search_040348.cif
223,040349,40349,"['Ag0.86Sb0.14-40349-Cagome_big.gph', 'Ag0.86Sb0.14-40349-Cagome_big_1.gph', 'Ag0.86Sb0.14-40349-Cagome_big_2.gph', 'Ag0.86Sb0.14-40349-Cagome_big_3.gph']",intermetallics_search_040349.cif
224,040351,40351,['AuCu3-40351-Cagome_big.gph'],intermetallics_search_040351.cif
225,040352,40352,"['Ir0.33Os0.33Ru0.34-40352-Cagome_big.gph', 'Ir0.33Os0.33Ru0.34-40352-Cagome_big_1.gph', 'Ir0.33Os0.33Ru0.34-40352-Cagome_big_2.gph']",intermetallics_search_040352.cif
226,040353,40353,"['Ir0.43Os0.47Ru0.1-40353-Cagome_big.gph', 'Ir0.43Os0.47Ru0.1-40353-Cagome_big_1.gph', 'Ir0.43Os0.47Ru0.1-40353-Cagome_big_2.gph', 'Ir0.43Os0.47Ru0.1-40353-Cagome_big_3.gph', 'Ir0.43Os0.47Ru0.1-40353-Cagome_big_4.gph', 'Ir0.43Os0.47Ru0.1-40353-Cagome_big_5.gph']",intermetallics_search_040353.cif
227,040356,40356,"['Rh0.57Pt0.43-40356-Cagome_big.gph', 'Rh0.57Pt0.43-40356-Cagome_big_1.gph']",intermetallics_search_040356.cif
228,040357,40357,"['Ag1.1Hg0.9-40357-Cagome_big.gph', 'Ag1.1Hg0.9-40357-Cagome_big_1.gph', 'Ag1.1Hg0.9-40357-Cagome_big_2.gph', 'Ag1.1Hg0.9-40357-Cagome_big_3.gph']",intermetallics_search_040357.cif
229,040816,40816,"['KSnSb-40816-Cagome_big.gph', 'KSnSb-40816-Cagome_big_1.gph']",intermetallics_search_040816.cif
230,041045,41045,"['Mo2.8Ga2Ge4.2-41045-Cagome_big.gph', 'Mo2.8Ga2Ge4.2-41045-Cagome_big_1.gph', 'Mo2.8Ga2Ge4.2-41045-Cagome_big_2.gph', 'Mo2.8Ga2Ge4.2-41045-Cagome_big_3.gph', 'Mo2.8Ga2Ge4.2-41045-Cagome_big_4.gph']",intermetallics_search_041045.cif
231,041155,41155,"['RhMnGe-41155-Cagome_big.gph', 'RhMnGe-41155-Cagome_big_1.gph', 'RhMnGe-41155-Cagome_big_2.gph', 'RhMnGe-41155-Cagome_big_3.gph', 'RhMnGe-41155-Cagome_big_4.gph', 'RhMnGe-41155-Cagome_big_5.gph']",intermetallics_search_041155.cif
232,041156,41156,['PdMnGe-41156-Cagome_big.gph'],intermetallics_search_041156.cif
233,041380,41380,"['LiFe6Ge5-41380-Cagome_big.gph', 'LiFe6Ge5-41380-Cagome_big_1.gph', 'LiFe6Ge5-41380-Cagome_big_2.gph']",intermetallics_search_041380.cif
234,041381,41381,"['LiFe6Ge4-41381-Cagome_big.gph', 'LiFe6Ge4-41381-Cagome_big_1.gph']",intermetallics_search_041381.cif
235,041384,41384,"['LiFe6Ge6-41384-Cagome_big.gph', 'LiFe6Ge6-41384-Cagome_big_1.gph']",intermetallics_search_041384.cif
236,041459,41459,['LiCo6Ge6-41459-Cagome_big.gph'],intermetallics_search_041459.cif
237,041460,41460,['ZrCo6Ge6-41460-Cagome_big.gph'],intermetallics_search_041460.cif
238,041461,41461,['MgFe6Ge6-41461-Cagome_big.gph'],intermetallics_search_041461.cif
239,041462,41462,['Y0.45Co3Ge3-41462-Cagome_big.gph'],intermetallics_search_041462.cif
240,041463,41463,"['LiNi6Ge6-41463-Cagome_big.gph', 'LiNi6Ge6-41463-Cagome_big_1.gph']",intermetallics_search_041463.cif
241,041465,41465,"['ScNi6Ge6-41465-Cagome_big.gph', 'ScNi6Ge6-41465-Cagome_big_1.gph', 'ScNi6Ge6-41465-Cagome_big_2.gph']",intermetallics_search_041465.cif
242,041685,41685,['NaPd3Sn2-41685-Cagome_big.gph'],intermetallics_search_041685.cif
243,041694,41694,"['Ag0.05Ni0.95-41694-Cagome_big.gph', 'Ag0.05Ni0.95-41694-Cagome_big_1.gph']",intermetallics_search_041694.cif
244,041704,41704,"['Ag0.05Ni0.95-41704-Cagome_big.gph', 'Ag0.05Ni0.95-41704-Cagome_big_1.gph']",intermetallics_search_041704.cif
245,041790,41790,['SrMn2Sb2-41790-Cagome_big.gph'],intermetallics_search_041790.cif
246,041796,41796,['MgFe6Ge6-41796-Cagome_big.gph'],intermetallics_search_041796.cif
247,041814,41814,"['V3Sb2-41814-Cagome_big.gph', 'V3Sb2-41814-Cagome_big_1.gph']",intermetallics_search_041814.cif
248,041815,41815,"['Ti5Sb3-41815-Cagome_big.gph', 'Ti5Sb3-41815-Cagome_big_1.gph', 'Ti5Sb3-41815-Cagome_big_2.gph', 'Ti5Sb3-41815-Cagome_big_3.gph', 'Ti5Sb3-41815-Cagome_big_4.gph', 'Ti5Sb3-41815-Cagome_big_5.gph']",intermetallics_search_041815.cif
