,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
3000,104771,104771,"['LiPd-104771-Cagome_big.gph', 'LiPd-104771-Cagome_big_1.gph', 'LiPd-104771-Cagome_big_2.gph', 'LiPd-104771-Cagome_big_3.gph']",intermetallics_search_104771.cif
3001,104772,104772,"['Li2.74Pd5.26-104772-Cagome_big.gph', 'Li2.74Pd5.26-104772-Cagome_big_1.gph', 'Li2.74Pd5.26-104772-Cagome_big_10.gph', 'Li2.74Pd5.26-104772-Cagome_big_11.gph', 'Li2.74Pd5.26-104772-Cagome_big_12.gph', 'Li2.74Pd5.26-104772-Cagome_big_13.gph', 'Li2.74Pd5.26-104772-Cagome_big_14.gph', 'Li2.74Pd5.26-104772-Cagome_big_15.gph', 'Li2.74Pd5.26-104772-Cagome_big_16.gph', 'Li2.74Pd5.26-104772-Cagome_big_17.gph', 'Li2.74Pd5.26-104772-Cagome_big_18.gph', 'Li2.74Pd5.26-104772-Cagome_big_19.gph', 'Li2.74Pd5.26-104772-Cagome_big_2.gph', 'Li2.74Pd5.26-104772-Cagome_big_20.gph', 'Li2.74Pd5.26-104772-Cagome_big_21.gph', 'Li2.74Pd5.26-104772-Cagome_big_22.gph', 'Li2.74Pd5.26-104772-Cagome_big_23.gph', 'Li2.74Pd5.26-104772-Cagome_big_24.gph', 'Li2.74Pd5.26-104772-Cagome_big_25.gph', 'Li2.74Pd5.26-104772-Cagome_big_26.gph', 'Li2.74Pd5.26-104772-Cagome_big_27.gph', 'Li2.74Pd5.26-104772-Cagome_big_28.gph', 'Li2.74Pd5.26-104772-Cagome_big_29.gph', 'Li2.74Pd5.26-104772-Cagome_big_3.gph', 'Li2.74Pd5.26-104772-Cagome_big_4.gph', 'Li2.74Pd5.26-104772-Cagome_big_5.gph', 'Li2.74Pd5.26-104772-Cagome_big_6.gph', 'Li2.74Pd5.26-104772-Cagome_big_7.gph', 'Li2.74Pd5.26-104772-Cagome_big_8.gph', 'Li2.74Pd5.26-104772-Cagome_big_9.gph']",intermetallics_search_104772.cif
3002,104777,104777,"['LiPt-104777-Cagome_big.gph', 'LiPt-104777-Cagome_big_1.gph', 'LiPt-104777-Cagome_big_2.gph', 'LiPt-104777-Cagome_big_3.gph']",intermetallics_search_104777.cif
3003,104778,104778,['LiPt2-104778-Cagome_big.gph'],intermetallics_search_104778.cif
3004,104779,104779,"['LiPt7-104779-Cagome_big.gph', 'LiPt7-104779-Cagome_big_1.gph', 'LiPt7-104779-Cagome_big_2.gph', 'LiPt7-104779-Cagome_big_3.gph']",intermetallics_search_104779.cif
3005,104793,104793,"['(Li0.105Zn0.895)-104793-Cagome_big.gph', '(Li0.105Zn0.895)-104793-Cagome_big_1.gph', '(Li0.105Zn0.895)-104793-Cagome_big_2.gph', '(Li0.105Zn0.895)-104793-Cagome_big_3.gph']",intermetallics_search_104793.cif
3006,104801,104801,"['(Lu0.75Mg0.25)-104801-Cagome_big.gph', '(Lu0.75Mg0.25)-104801-Cagome_big_1.gph']",intermetallics_search_104801.cif
3007,104802,104802,"['LuMn5-104802-Cagome_big.gph', 'LuMn5-104802-Cagome_big_1.gph']",intermetallics_search_104802.cif
3008,104803,104803,['(Lu0.25Tb0.75)Mn2-104803-Cagome_big.gph'],intermetallics_search_104803.cif
3009,104804,104804,['LuNi2-104804-Cagome_big.gph'],intermetallics_search_104804.cif
3010,104806,104806,['LuNi5-104806-Cagome_big.gph'],intermetallics_search_104806.cif
